Country code,GDP 60,GDP 65,GDP 70,GDP 75,GDP 80,GDP 85,Worker 60,Worker 65,Worker 70,Worker 75,Worker 80,Worker 85,Life expectation 60,Life expectation 65,Life expectation 70,Life expectation 75,Life expectation 80,Life expectation 85,Expenses on education 60-65,Expenses on education 65-70,Expenses on education 70-75,Expenses on education 75-80,Expenses on education 80-85,Expenses on defense 60-65,Expenses on defense 65-70,Expenses on defense 70-75,Expenses on defense 75-80,Expenses on defense 80-85,Average school years 60,Average school years 65,Average school years 70,Average school years 75,Average school years 80,Average school years 85,Political Instability 60-65,Political Instability 65-70,Political Instability 70-75,Political Instability 75-80,Political Instability 80-85,Civil Liberties 70-75,Civil Liberties 75-80,Civil Liberties 80-85,Civil Liberties 85-90,Political rights 70-75,Political rights 75-80,Political rights 80-85,Political rights 85-90,Population 60,Population 65,Population 70,Population 75,Population 80,Population 85,Export 60-65,Export 65-70,Export 70-75,Export 75-80,Export 80-85,Import 60-65,Import 65-70,Import 70-75,Import 75-80,Import 80-85
50,6069,7296,8495,10147,11332,12196,0.3727,0.3874,0.4083,0.4475,0.4928,0.5013,71.1,71.8,72.5,73.4,74.7,76.2,0.0465,0.0695,0.077,0.0752,0.0726,0.04,0.027,0.021,0.019,0.019,8.071,8.317,8.554,9.497,10.158,10.369,0,0,0.0094,0,0,1,1,1,1,1,1,1,1,17909,19678,21324,22727,24043,25379,0.1741,0.1975,0.2558,0.2639,0.2624,0.175,0.1942,0.2412,0.2661,0.2362
51,1663,1930,2300,2646,3031,2650,0.3022,0.3011,0.3075,0.3264,0.3503,0.3632,61.9,64.6,67.1,69.1,71.7,73.4,0.0375,0.0569,0.0511,0.0581,0.0566,0.011,0.01,0.005,0.007,0.007,3.472,3.833,3.611,4.48,4.814,5.333,0,0,0,0,0,1,1,1,1,1,1,1,1,1236,1482,1731,1968,2284,2642,0.1265,0.1263,0.1526,0.1697,0.1585,0.1496,0.1577,0.1976,0.2144,0.1742
53,956,992,1232,1640,1868,1753,0.2806,0.2709,0.2616,0.2671,0.2757,0.2902,52.2,55.7,58.7,61.2,63.3,65.2,0.0193,0.028,0.0279,0.0203,0.0212,0.039,0.029,0.018,0.017,0.016,2.375,2.557,2.866,3.314,3.709,4.177,0.22925,0.3005,0.022,0.2,1,3.666667,3.2,1.4,1,2,2.4,2.6,3,3231,3806,4423,5048,5697,6416,0.1407,0.1097,0.1111,0.1366,0.1005,0.1313,0.1316,0.141,0.1627,0.135
54,1062,1290,1358,1482,1410,1198,0.3262,0.3314,0.3297,0.3353,0.3505,0.3842,50.8,54.5,57.6,58,57.3,60.2,0.0257,0.0276,0.0322,0.0335,0.0356,0.012,0.015,0.013,0.018,0.04,1.7,1.9,2.157,2.729,3.283,3.574,0.2,0,0.1,0.477,1,2,3.4,4.4,2.8,3,3.2,4.8,3.8,2570,3006,3588,4085,4525,4768,0.1211,0.1161,0.1148,0.1577,0.1328,0.1308,0.1301,0.1244,0.1693,0.1555
56,1268,1365,1544,1717,1952,1608,0.3198,0.3105,0.3025,0.2934,0.2844,0.2839,45.9,48.9,52.5,55.5,58,60.8,0.0151,0.0188,0.0191,0.0162,0.018,0.009,0.01,0.01,0.013,0.023,1.155,1.426,1.714,1.885,2.342,2.591,0.4242,0.1265,0.345,0.34,1,3.333333,3.6,5.6,3.2,3,3.8,6,3.2,3964,4568,5246,6023,6917,7963,0.0634,0.0797,0.0855,0.1162,0.0872,0.0762,0.0868,0.0881,0.1373,0.1055
57,605,581,550,568,696,631,0.533,0.5227,0.5203,0.4938,0.4726,0.4765,42.4,45.2,47.6,49.8,51.9,53.9,0.0164,0.014,0.008,0.0126,0.0121,0.025,0.019,0.014,0.013,0.013,0.691,0.821,0.958,1.176,1.455,1.621,0.12595,0.07,0.1,0.0198,1,6.333333,6.4,6.8,6.4,6,5.8,6,5,3807,4147,4535,4937,5370,5889,0.0471,0.0364,0.0371,0.0567,0.0595,0.0559,0.047,0.0513,0.0851,0.0935
58,748,824,927,895,1075,911,0.3195,0.3046,0.3007,0.2997,0.2946,0.2973,46.8,49.7,52.7,56.2,60.2,63.2,0.0218,0.0284,0.0299,0.0336,0.0345,0.017,0.014,0.016,0.02,0.039,1.686,1.837,1.947,2.092,2.698,3.561,0.1,0,0.1,0.2,1,6.333333,6,2.8,2,3,3,3,3,1935,2293,2627,3081,3662,4383,0.1422,0.1938,0.1828,0.2017,0.1844,0.1455,0.1955,0.2058,0.2326,0.2166
59,1472,1807,2422,2293,1858,1725,0.41,0.3949,0.3804,0.4014,0.4354,0.4688,63,65.5,67.2,68.5,71.3,73.5,0.0232,0.0362,0.0504,0.0645,0.063,0.004,0.005,0.005,0.008,0.015,2.463,2.665,3.202,3.413,3.602,4.162,    ,0,0,0.145,1,1,1.6,2,2,2,2.8,3,2.4,1629,1760,1869,2013,2133,2311,0.259,0.2641,0.2351,0.2718,0.2599,0.275,0.286,0.291,0.3058,0.3097
60,2157,2575,3063,3586,4333,3985,0.2892,0.2822,0.2746,0.29,0.316,0.3321,57.3,59.6,61.7,64.3,66.6,68.1,0.0139,0.0219,0.0238,0.0373,0.0312,0.007,0.007,0.007,0.006,0.006,2.405,2.789,3.307,3.47,3.512,4.418,0,0,0.001715,0.00149,0,4.333333,3.8,3,3.8,3,3.6,4,3.8,38020,44752,52771,61918,70416,79376,0.0342,0.0327,0.0335,0.0412,0.0703,0.0428,0.0412,0.0444,0.0526,0.0572
61,1588,2217,2292,2461,2012,1989,0.2966,0.2984,0.3013,0.2965,0.2977,0.3035,47.3,50.4,53.5,55.7,58.4,61.9,0.0173,0.0229,0.0236,0.026,0.0444,0.018,0.015,0.015,0.025,0.071,2.074,2.148,2.424,2.359,2.735,3.776,0,0,0,0.3905,1,4.666667,5,5.6,5,3.666667,4.8,5,5,1493,1750,2053,2408,2771,3272,0.0864,0.0918,0.1006,0.1423,0.0823,0.0931,0.1085,0.1168,0.1375,0.1575
